race_id,bet_type,combo,odds,fetched_at
012026062906,3t,4-1-3,358.5,2026-06-29 08:44:09
012026062906,3t,4-1-5,71.7,2026-06-29 08:44:09
012026062906,3t,4-1-6,89.6,2026-06-29 08:44:09
012026062906,3t,4-2-1,35.8,2026-06-29 08:44:09
012026062906,3t,4-2-3,358.5,2026-06-29 08:44:09
012026062906,3t,4-2-5,358.5,2026-06-29 08:44:09
012026062906,3t,4-2-6,21.0,2026-06-29 08:44:09
012026062906,3t,4-3-1,179.2,2026-06-29 08:44:09
012026062906,3t,4-3-2,0.0,2026-06-29 08:44:09
012026062906,3t,4-3-5,358.5,2026-06-29 08:44:09
012026062906,3t,4-3-6,179.2,2026-06-29 08:44:09
012026062906,3t,4-5-1,119.5,2026-06-29 08:44:09
012026062906,3t,4-5-2,0.0,2026-06-29 08:44:09
012026062906,3t,4-5-3,0.0,2026-06-29 08:44:09
012026062906,3t,4-5-6,0.0,2026-06-29 08:44:09
012026062906,3t,4-6-1,179.2,2026-06-29 08:44:09
012026062906,3t,4-6-2,89.6,2026-06-29 08:44:09
012026062906,3t,4-6-3,0.0,2026-06-29 08:44:09
012026062906,3t,4-6-5,0.0,2026-06-29 08:44:09
012026062906,3t,5-1-2,179.2,2026-06-29 08:44:09
012026062906,3t,5-1-3,89.6,2026-06-29 08:44:09
012026062906,3t,5-1-4,44.8,2026-06-29 08:44:09
012026062906,3t,5-1-6,179.2,2026-06-29 08:44:09
012026062906,3t,5-2-1,358.5,2026-06-29 08:44:09
012026062906,3t,5-2-3,179.2,2026-06-29 08:44:09
012026062906,3t,5-2-4,179.2,2026-06-29 08:44:09
012026062906,3t,5-2-6,32.5,2026-06-29 08:44:09
012026062906,3t,5-3-1,25.6,2026-06-29 08:44:09
012026062906,3t,5-3-2,29.8,2026-06-29 08:44:09
012026062906,3t,5-3-4,0.0,2026-06-29 08:44:09
012026062906,3t,5-3-6,0.0,2026-06-29 08:44:09
012026062906,3t,5-4-1,119.5,2026-06-29 08:44:09
012026062906,3t,5-4-2,358.5,2026-06-29 08:44:09
012026062906,3t,5-4-3,0.0,2026-06-29 08:44:09
012026062906,3t,5-4-6,35.8,2026-06-29 08:44:09
012026062906,3t,5-6-1,0.0,2026-06-29 08:44:09
012026062906,3t,5-6-2,179.2,2026-06-29 08:44:09
012026062906,3t,5-6-3,0.0,2026-06-29 08:44:09
012026062906,3t,5-6-4,27.5,2026-06-29 08:44:09
012026062906,3t,6-1-2,358.5,2026-06-29 08:44:09
012026062906,3t,6-1-3,0.0,2026-06-29 08:44:09
012026062906,3t,6-1-4,32.5,2026-06-29 08:44:09
012026062906,3t,6-1-5,0.0,2026-06-29 08:44:09
012026062906,3t,6-2-1,119.5,2026-06-29 08:44:09
012026062906,3t,6-2-3,119.5,2026-06-29 08:44:09
012026062906,3t,6-2-4,179.2,2026-06-29 08:44:09
012026062906,3t,6-2-5,358.5,2026-06-29 08:44:09
012026062906,3t,6-3-1,0.0,2026-06-29 08:44:09
012026062906,3t,6-3-2,358.5,2026-06-29 08:44:09
012026062906,3t,6-3-4,89.6,2026-06-29 08:44:09
012026062906,3t,6-3-5,0.0,2026-06-29 08:44:09
012026062906,3t,6-4-1,358.5,2026-06-29 08:44:09
012026062906,3t,6-4-2,358.5,2026-06-29 08:44:09
012026062906,3t,6-4-3,358.5,2026-06-29 08:44:09
012026062906,3t,6-4-5,358.5,2026-06-29 08:44:09
012026062906,3t,6-5-1,0.0,2026-06-29 08:44:09
012026062906,3t,6-5-2,179.2,2026-06-29 08:44:09
012026062906,3t,6-5-3,0.0,2026-06-29 08:44:09
012026062906,3t,6-5-4,0.0,2026-06-29 08:44:09
012026062907,2t,1-2,6.0,2026-06-29 08:44:09
012026062907,2t,1-3,1.0,2026-06-29 08:44:09
012026062907,2t,1-4,0.0,2026-06-29 08:44:09
012026062907,2t,1-5,0.0,2026-06-29 08:44:09
012026062907,2t,1-6,0.0,2026-06-29 08:44:09
012026062907,2t,2-1,0.0,2026-06-29 08:44:09
012026062907,2t,2-3,0.0,2026-06-29 08:44:09
012026062907,2t,2-4,0.0,2026-06-29 08:44:09
012026062907,2t,2-5,0.0,2026-06-29 08:44:09
012026062907,2t,2-6,0.0,2026-06-29 08:44:09
012026062907,2t,3-1,6.0,2026-06-29 08:44:09
012026062907,2t,3-2,0.0,2026-06-29 08:44:09
012026062907,2t,3-4,0.0,2026-06-29 08:44:09
012026062907,2t,3-5,0.0,2026-06-29 08:44:09
012026062907,2t,3-6,0.0,2026-06-29 08:44:09
012026062907,2t,4-1,0.0,2026-06-29 08:44:09
012026062907,2t,4-2,0.0,2026-06-29 08:44:09
012026062907,2t,4-3,0.0,2026-06-29 08:44:09
012026062907,2t,4-5,0.0,2026-06-29 08:44:09
012026062907,2t,4-6,0.0,2026-06-29 08:44:09
012026062907,2t,5-1,0.0,2026-06-29 08:44:09
012026062907,2t,5-2,0.0,2026-06-29 08:44:09
012026062907,2t,5-3,0.0,2026-06-29 08:44:09
012026062907,2t,5-4,0.0,2026-06-29 08:44:09
012026062907,2t,5-6,0.0,2026-06-29 08:44:09
012026062907,2t,6-1,0.0,2026-06-29 08:44:09
012026062907,2t,6-2,12.0,2026-06-29 08:44:09
012026062907,2t,6-3,0.0,2026-06-29 08:44:09
012026062907,2t,6-4,0.0,2026-06-29 08:44:09
012026062907,2t,6-5,0.0,2026-06-29 08:44:09
012026062907,3t,1-2-3,41.5,2026-06-29 08:44:09
012026062907,3t,1-2-4,27.6,2026-06-29 08:44:09
012026062907,3t,1-2-5,55.3,2026-06-29 08:44:09
012026062907,3t,1-2-6,166.1,2026-06-29 08:44:09
012026062907,3t,1-3-2,41.5,2026-06-29 08:44:09
012026062907,3t,1-3-4,16.6,2026-06-29 08:44:09
012026062907,3t,1-3-5,13.8,2026-06-29 08:44:09
012026062907,3t,1-3-6,20.7,2026-06-29 08:44:09
012026062907,3t,1-4-2,332.2,2026-06-29 08:44:09
012026062907,3t,1-4-3,66.4,2026-06-29 08:44:09
012026062907,3t,1-4-5,66.4,2026-06-29 08:44:09
012026062907,3t,1-4-6,66.4,2026-06-29 08:44:09
012026062907,3t,1-5-2,166.1,2026-06-29 08:44:09
012026062907,3t,1-5-3,47.4,2026-06-29 08:44:09
012026062907,3t,1-5-4,23.7,2026-06-29 08:44:09
012026062907,3t,1-5-6,166.1,2026-06-29 08:44:09
012026062907,3t,1-6-2,332.2,2026-06-29 08:44:09
012026062907,3t,1-6-3,83.0,2026-06-29 08:44:09
012026062907,3t,1-6-4,27.6,2026-06-29 08:44:09
012026062907,3t,1-6-5,332.2,2026-06-29 08:44:09
012026062907,3t,2-1-3,332.2,2026-06-29 08:44:09
012026062907,3t,2-1-4,110.7,2026-06-29 08:44:09
012026062907,3t,2-1-5,332.2,2026-06-29 08:44:09
012026062907,3t,2-1-6,0.0,2026-06-29 08:44:09
012026062907,3t,2-3-1,332.2,2026-06-29 08:44:09
012026062907,3t,2-3-4,332.2,2026-06-29 08:44:09
012026062907,3t,2-3-5,55.3,2026-06-29 08:44:09
012026062907,3t,2-3-6,332.2,2026-06-29 08:44:09
012026062907,3t,2-4-1,332.2,2026-06-29 08:44:09
012026062907,3t,2-4-3,166.1,2026-06-29 08:44:09
012026062907,3t,2-4-5,83.0,2026-06-29 08:44:09
012026062907,3t,2-4-6,0.0,2026-06-29 08:44:09
012026062907,3t,2-5-1,166.1,2026-06-29 08:44:09
012026062907,3t,2-5-3,166.1,2026-06-29 08:44:09
012026062907,3t,2-5-4,83.0,2026-06-29 08:44:09
012026062907,3t,2-5-6,332.2,2026-06-29 08:44:09
